RACE,Population Percentage,State
2,32.781503193405314,Louisiana
3,0.8299346374188197,Louisiana
4,1.9239512696610048,Louisiana
5,0.065791752546326,Louisiana
6,1.897852422127727,Louisiana
1,93.92690603028859,Maine
2,1.9782147342890555,Maine
3,0.7063969855775477,Maine
4,1.3818268439516652,Maine
5,0.040495474035254886,Maine
6,1.9661599318578833,Maine
1,57.273539822147534,Maryland
2,31.658810056029044,Maryland
3,0.7030233621967797,Maryland
4,7.05931876210529,Maryland
5,0.12404577056966645,Maryland
6,3.1812622269516893,Maryland
1,79.43812165442037,Massachusetts
2,9.46451533620721,Massachusetts
3,0.5289048627222044,Massachusetts
4,7.7090662325583,Massachusetts
5,0.11155870818195542,Massachusetts
6,2.747833205909962,Massachusetts
1,78.79453819186608,Michigan
2,14.135210556229534,Michigan
3,0.7414407232607406,Michigan
4,3.512457952187702,Michigan
5,0.046860145984004765,Michigan
6,2.769492430471931,Michigan
1,82.59391336714019,Minnesota
2,7.649447700126496,Minnesota
3,1.3797876716929174,Minnesota
4,5.478623742038038,Minnesota
5,0.08789292071061558,Minnesota
6,2.8103345982917465,Minnesota
1,58.831886592674906,Mississippi
2,37.772498968557414,Mississippi
3,0.6426406018658822,Mississippi
4,1.1625284815906631,Mississippi
5,0.06826398263707133,Mississippi
6,1.5221813726740672,Mississippi
1,82.48074565750457,Missouri
2,11.740402207396393,Missouri
3,0.6128725078533244,Missouri
4,2.3085787097579344,Missouri
5,0.19080741416620414,Missouri
6,2.6665935033215673,Missouri
1,88.71745273482968,Montana
2,0.622780792382357,Montana
3,6.452322492334355,Montana
4,1.0761737587799802,Montana
5,0.0986759785442087,Montana
6,3.032594243129418,Montana
1,87.4974783058077,Nebraska
2,5.36611442622501,Nebraska
3,1.6435602409240606,Nebraska
4,2.8248564603391495,Nebraska
5,0.14009694484997634,Nebraska
6,2.527893621854107,Nebraska
1,72.06980236467562,Nevada
2,10.836428793506897,Nevada
3,1.7148807403426047,Nevada
4,9.438688489923129,Nevada
5,0.8811204831561232,Nevada
6,5.059079128395618,Nevada
1,92.55908161444233,New Hampshire
2,2.0063344349430308,New Hampshire
3,0.3172234561875417,New Hampshire
4,3.1725929254725562,New Hampshire
5,0.06271362949934456,New Hampshire
6,1.882053939455187,New Hampshire
1,70.71887134315205,New Jersey
2,15.438463288431205,New Jersey
3,0.7273611461568769,New Jersey
4,10.546790605049894,New Jersey
5,0.1326538467726062,New Jersey
6,2.435859770437368,New Jersey
1,81.14395952575634,New Mexico
2,2.7489608885254837,New Mexico
3,11.174186502528693,New Mexico
4,1.951740937585173,New Mexico
5,0.16632408164501378,New Mexico
6,2.8148280639592986,New Mexico
1,68.61490771707754,New York
2,17.744093136247212,New York
3,1.0467572261858438,New York
4,9.62703899563509,New York
5,0.1454834594703268,New York
